,fid,title,description,category,price,length,rating,actors,_merge
12,375,GRAIL FRANKENSTEIN,A Unbelieveable Saga of a Teacher And a Monkey who must Fight a Girl in An Abandoned Mine Shaft,Action,2.99,85,NC-17,"AL GARLAND, GRETA KEITEL, DARYL WAHLBERG, JOHNNY LOLLOBRIGIDA, JAYNE NEESON",right_only
13,644,OSCAR GOLD,A Insightful Tale of a Database Administrator And a Dog who must Face a Madman in Soviet Georgia,Animation,2.99,115,PG,"AL GARLAND, HARVEY HOPE, ELLEN PRESLEY, BOB FAWCETT, RIP CRAWFORD, DUSTIN TAUTOU",right_only
14,948,VOICE PEACH,A Amazing Panorama of a Pioneer And a Student who must Overcome a Mad Scientist in A Manhattan Penthouse,New,0.99,139,PG-13,"AL GARLAND, HELEN VOIGHT, VIVIEN BERGEN",right_only
15,95,BREAKFAST GOLDFINGER,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,New,4.99,123,G,"AL GARLAND, JULIA ZELLWEGER, MICHAEL BOLGER, RUSSELL TEMPLE, ANGELINA ASTAIRE",right_only
16,395,HANDICAP BOONDOCK,A Beautiful Display of a Pioneer And a Squirrel who must Vanquish a Sumo Wrestler in Soviet Georgia,Action,0.99,108,R,"AL GARLAND, MARY KEITEL, ZERO CAGE, RENEE TRACY, GARY PHOENIX, CATE HARRIS, ALBERT NOLTE",right_only
17,933,VAMPIRE WHALE,A Epic Story of a Lumberjack And a Monkey who must Confront a Pioneer in A MySQL Convention,New,4.99,126,NC-17,"ALAN DREYFUSS, ED MANSFIELD, RICHARD PENN, JOHNNY CAGE, MEG HAWKE",right_only
18,405,HAUNTED ANTITRUST,A Amazing Saga of a Man And a Dentist who must Reach a Technical Writer in Ancient India,Travel,4.99,76,NC-17,"ALAN DREYFUSS, FAY WINSLET, SEAN WILLIAMS, CAMERON STREEP, WILLIAM HACKMAN",right_only
19,235,DIVIDE MONSTER,A Intrepid Saga of a Man And a Forensic Psychologist who must Reach a Squirrel in A Monastery,Sci-Fi,2.99,68,PG-13,"ALAN DREYFUSS, GENE MCKELLEN, SANDRA KILMER, CHRISTIAN AKROYD, HENRY BERRY, CHRISTIAN NEESON",right_only
20,154,CLASH FREDDY,A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia,Animation,2.99,81,G,"ALAN DREYFUSS, UMA WOOD, HELEN VOIGHT, MILLA PECK, LIZA BERGMAN, KIM ALLEN, VIVIEN BERGEN",right_only
21,49,BADMAN DAWN,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,Sci-Fi,2.99,162,R,"ALAN DREYFUSS, WARREN JACKMAN, GRETA KEITEL, OLYMPIA PFEIFFER, THORA TEMPLE, BEN WILLIS, HARRISON BALE, CUBA ALLEN",right_only
22,372,GRACELAND DYNAMITE,A Taut Display of a Cat And a Girl who must Overcome a Database Administrator in New Orleans,Sports,4.99,140,R,"ALBERT JOHANSSON, BURT POSEY, CHRISTIAN NEESON, SIDNEY CROWE, KENNETH HOFFMAN, NATALIE HOPKINS",right_only
23,278,ELF MURDER,A Action-Packed Story of a Frisbee And a Woman who must Reach a Girl in An Abandoned Mine Shaft,Music,4.99,155,NC-17,"ALBERT JOHANSSON, CAMERON WRAY, WARREN NOLTE, GENE HOPKINS, AUDREY BAILEY",right_only
24,922,UNDEFEATED DALMATIONS,A Unbelieveable Display of a Crocodile And a Feminist who must Overcome a Moose in An Abandoned Amusement Park,Horror,4.99,107,PG-13,"ALBERT JOHANSSON, FRANCES DAY-LEWIS, TOM MIRANDA",right_only
25,734,ROAD ROXANNE,A Boring Character Study of a Waitress And a Astronaut who must Fight a Crocodile in Ancient Japan,Documentary,4.99,158,R,"ALBERT JOHANSSON, LAURENCE BULLOCK, HELEN VOIGHT, JULIA BARRYMORE, GARY PHOENIX, CHRIS BRIDGES, CUBA BIRCH, KIRSTEN PALTROW",right_only
26,514,LEBOWSKI SOLDIERS,A Beautiful Epistle of a Secret Agent And a Pioneer who must Chase a Astronaut in Ancient China,Drama,2.99,69,PG-13,"ALBERT JOHANSSON, RICHARD PENN, JOE SWANK",right_only
27,731,RIGHT CRANES,A Fateful Character Study of a Boat And a Cat who must Find a Database Administrator in A Jet Boat,Classics,4.99,153,PG-13,"ALBERT JOHANSSON, WHOOPI HURT, CAMERON ZELLWEGER, JESSICA BAILEY, PARKER GOLDBERG, ELVIS MARX, BURT DUKAKIS",right_only
28,965,WATERSHIP FRONTIER,A Emotional Yarn of a Boat And a Crocodile who must Meet a Moose in Soviet Georgia,Horror,0.99,112,G,"ALBERT NOLTE, ANGELA HUDSON, DAN HARRIS, MILLA PECK, MICHAEL BOLGER, CATE MCQUEEN",right_only
29,623,NEWTON LABYRINTH,A Intrepid Character Study of a Moose And a Waitress who must Find a A Shark in Ancient India,Foreign,0.99,75,PG,"ALBERT NOLTE, AUDREY BAILEY, SEAN WILLIAMS, GREG CHAPLIN",right_only
30,324,FLINTSTONES HAPPINESS,A Fateful Story of a Husband And a Moose who must Vanquish a Boy in California,Comedy,4.99,148,PG-13,"ALBERT NOLTE, HUMPHREY WILLIS, DEBBIE AKROYD, BELA WALKEN",left_only
31,557,MANCHURIAN CURTAIN,A Stunning Tale of a Mad Cow And a Boy who must Battle a Boy in Berlin,Family,2.99,177,PG,"ALBERT NOLTE, RAY JOHANSSON",right_only
32,949,VOLCANO TEXAS,A Awe-Inspiring Yarn of a Hunter And a Feminist who must Challenge a Dentist in The Outback,Games,0.99,157,NC-17,"ALBERT NOLTE, RUSSELL TEMPLE, RUSSELL CLOSE, CATE MCQUEEN, CUBA OLIVIER",right_only
33,908,TRAP GUYS,A Unbelieveable Story of a Boy And a Mad Cow who must Challenge a Database Administrator in The Sahara Desert,Foreign,4.99,110,G,"ALBERT NOLTE, VIVIEN BERGEN, WOODY HOFFMAN, KENNETH PESCI, BELA WALKEN, WILLIAM HACKMAN, HUMPHREY WILLIS",right_only
34,444,HUSTLER PARTY,A Emotional Reflection of a Sumo Wrestler And a Monkey who must Conquer a Robot in The Sahara Desert,Comedy,4.99,83,NC-17,"ALEC WAYNE, ANGELINA ASTAIRE, MINNIE KILMER, CHRISTOPHER WEST",left_only
35,282,ENCOUNTERS CURTAIN,A Insightful Epistle of a Pastry Chef And a Womanizer who must Build a Boat in New Orleans,Drama,0.99,92,NC-17,"ALEC WAYNE, ANNE CRONYN, EWAN GOODING, MERYL GIBSON",left_only
36,590,MONEY HAROLD,A Touching Tale of a Explorer And a Boat who must Defeat a Robot in Australia,New,2.99,135,PG,"ALEC WAYNE, BURT DUKAKIS, GENE WILLIS, PENELOPE MONROE, JANE JACKMAN, IAN TANDY, DEBBIE AKROYD",left_only
37,488,JOON NORTHWEST,A Thrilling Panorama of a Technical Writer And a Car who must Discover a Forensic Psychologist in A Shark Tank,Sports,0.99,105,NC-17,"ALEC WAYNE, CHARLIZE DENCH",left_only
38,862,SUMMER SCARFACE,A Emotional Panorama of a Lumberjack And a Hunter who must Meet a Girl in A Shark Tank,Classics,0.99,53,G,"ALEC WAYNE, DAN HARRIS, DUSTIN TAUTOU, ANGELINA ASTAIRE, MEG HAWKE, EWAN GOODING, CATE HARRIS, RUSSELL CLOSE",left_only
39,131,CENTER DINOSAUR,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,Classics,4.99,152,PG,"ALEC WAYNE, FAY WINSLET, GEOFFREY HESTON, ED GUINESS",left_only
40,482,JEOPARDY ENCINO,A Boring Panorama of a Man And a Mad Cow who must Face a Explorer in Ancient India,Classics,0.99,102,R,"ALEC WAYNE, GREG CHAPLIN, GEOFFREY HESTON, JULIA ZELLWEGER, MARY KEITEL",left_only
41,436,HOURS RAGE,A Fateful Story of a Explorer And a Feminist who must Meet a Technical Writer in Soviet Georgia,New,0.99,122,NC-17,"ALEC WAYNE, HENRY BERRY, BURT POSEY, RALPH CRUZ, JANE JACKMAN, KIRSTEN AKROYD",right_only
42,436,HOURS RAGE,A Fateful Story of a Explorer And a Feminist who must Meet a Technical Writer in Soviet Georgia,New,0.99,122,NC-17,"ALEC WAYNE, HENRY BERRY, BURT POSEY, RALPH CRUZ, KIRSTEN AKROYD, JANE JACKMAN",left_only
43,133,CHAMBER ITALIAN,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,Music,4.99,117,NC-17,"ALEC WAYNE, HENRY BERRY, RIP WINSLET, GINA DEGENERES, ADAM HOPPER, RICHARD PENN, EMILY DEE",left_only
44,723,REIGN GENTLEMEN,A Emotional Yarn of a Composer And a Man who must Escape a Butler in The Gulf of Mexico,Sci-Fi,2.99,82,PG-13,"ALEC WAYNE, JOHNNY CAGE, MORGAN HOPKINS",left_only
45,10,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,Sports,4.99,63,NC-17,"ALEC WAYNE, JUDY DEAN, VAL BOLGER, RAY JOHANSSON, RENEE TRACY, JADA RYDER, GRETA MALDEN, ROCK DUKAKIS",left_only
46,296,EXPRESS LONELY,A Boring Drama of a Astronaut And a Boat who must Face a Boat in California,Sci-Fi,2.99,178,R,"ALEC WAYNE, PARKER GOLDBERG, RIP WINSLET, SEAN WILLIAMS, MINNIE ZELLWEGER, ALBERT JOHANSSON, OLYMPIA PFEIFFER, GREGORY GOODING",left_only
47,646,OUTBREAK DIVINE,A Unbelieveable Yarn of a Database Administrator And a Woman who must Succumb a A Shark in A U-Boat,Games,0.99,169,NC-17,"ALEC WAYNE, RAY JOHANSSON, MAE HOFFMAN, JAMES PITT, FAY WOOD",left_only
48,547,MAGIC MALLRATS,A Touching Documentary of a Pastry Chef And a Pastry Chef who must Build a Mad Scientist in California,Children,0.99,117,PG,"ALEC WAYNE, TOM MCKELLEN, BURT POSEY, KIRSTEN AKROYD",left_only
49,97,BRIDE INTRIGUE,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,Action,0.99,56,G,ANGELA HUDSON,right_only
50,97,BRIDE INTRIGUE,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,Action,0.99,56,G,ANGELA HUDSON,left_only
51,556,MALTESE HOPE,A Fast-Paced Documentary of a Crocodile And a Sumo Wrestler who must Conquer a Explorer in California,Games,4.99,127,PG-13,ANGELA HUDSON,right_only
52,556,MALTESE HOPE,A Fast-Paced Documentary of a Crocodile And a Sumo Wrestler who must Conquer a Explorer in California,Games,4.99,127,PG-13,ANGELA HUDSON,left_only
53,541,LUKE MUMMY,A Taut Character Study of a Boy And a Robot who must Redeem a Mad Scientist in Ancient India,Animation,2.99,74,NC-17,"ANGELA HUDSON, CHRISTIAN AKROYD, CUBA OLIVIER, BELA WALKEN, JULIA FAWCETT, MARY KEITEL, JOHN SUVARI, RITA REYNOLDS, BURT POSEY",right_only
54,471,ISLAND EXORCIST,A Fanciful Panorama of a Technical Writer And a Boy who must Find a Dentist in An Abandoned Fun House,Classics,2.99,84,NC-17,"ANGELA HUDSON, DARYL CRAWFORD, RAY JOHANSSON",right_only
55,371,GOSFORD DONNIE,A Epic Panorama of a Mad Scientist And a Monkey who must Redeem a Secret Agent in Berlin,Action,4.99,129,G,"ANGELA HUDSON, JADA RYDER, HUMPHREY GARLAND",left_only
56,39,ARMAGEDDON LOST,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,Sci-Fi,0.99,99,G,"ANGELA HUDSON, JAMES PITT, PENELOPE CRONYN, CUBA ALLEN, KIM ALLEN, GENE MCKELLEN, GREGORY GOODING",left_only
57,496,KICK SAVANNAH,A Emotional Drama of a Monkey And a Robot who must Defeat a Monkey in New Orleans,Travel,0.99,179,PG-13,"ANGELA HUDSON, JESSICA BAILEY, GRETA MALDEN, LAURENCE BULLOCK, ALAN DREYFUSS, MICHAEL BENING",right_only
58,496,KICK SAVANNAH,A Emotional Drama of a Monkey And a Robot who must Defeat a Monkey in New Orleans,Travel,0.99,179,PG-13,"ANGELA HUDSON, JESSICA BAILEY, GRETA MALDEN, LAURENCE BULLOCK, ALAN DREYFUSS, MICHAEL BENING",left_only
59,276,ELEMENT FREDDY,A Awe-Inspiring Reflection of a Waitress And a Squirrel who must Kill a Mad Cow in A Jet Boat,Comedy,4.99,115,NC-17,"ANGELA HUDSON, KIRK JOVOVICH, MERYL GIBSON, BELA WALKEN",right_only
60,577,MILE MULAN,A Lacklusture Epistle of a Cat And a Husband who must Confront a Boy in A MySQL Convention,Sports,0.99,64,PG,"ANGELA HUDSON, MENA TEMPLE, JULIANNE DENCH",right_only
61,272,EDGE KISSING,A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat,Drama,4.99,153,NC-17,"ANGELA WITHERSPOON, JAYNE NEESON, CUBA BIRCH",right_only
62,184,CORE SUIT,A Unbelieveable Tale of a Car And a Explorer who must Confront a Boat in A Manhattan Penthouse,Classics,2.99,92,PG-13,"ANGELA WITHERSPOON, MENA HOPPER, PENELOPE PINKETT, PENELOPE CRONYN",right_only
63,702,PULP BEVERLY,A Unbelieveable Display of a Dog And a Crocodile who must Outrace a Man in Nigeria,Horror,2.99,89,G,"ANGELA WITHERSPOON, WHOOPI HURT, KIRSTEN PALTROW, DUSTIN TAUTOU, SUSAN DAVIS, WARREN NOLTE, GRETA KEITEL",right_only
64,187,CRANES RESERVOIR,A Fanciful Documentary of a Teacher And a Dog who must Outgun a Forensic Psychologist in A Baloon Factory,Sports,2.99,57,NC-17,"ANGELINA ASTAIRE, CHARLIZE DENCH, LAURA BRODY, JULIA ZELLWEGER, VIVIEN BERGEN, REESE KILMER",right_only
65,765,SATURN NAME,A Fateful Epistle of a Butler And a Boy who must Redeem a Teacher in Berlin,Comedy,4.99,182,R,"ANGELINA ASTAIRE, CHRIS BRIDGES",right_only
66,765,SATURN NAME,A Fateful Epistle of a Butler And a Boy who must Redeem a Teacher in Berlin,Comedy,4.99,182,R,"ANGELINA ASTAIRE, CHRIS BRIDGES",left_only
67,781,SEVEN SWARM,A Unbelieveable Character Study of a Dog And a Mad Cow who must Kill a Monkey in Berlin,Games,4.99,127,R,"ANGELINA ASTAIRE, DAN HARRIS, CAMERON WRAY, GINA DEGENERES, ED MANSFIELD, JAYNE SILVERSTONE, CAMERON STREEP",right_only
68,474,JADE BUNCH,A Insightful Panorama of a Squirrel And a Mad Cow who must Confront a Student in The First Manned Space Station,Sports,2.99,174,NC-17,"ANGELINA ASTAIRE, DAN HARRIS, CAMERON ZELLWEGER, ED MANSFIELD, MERYL GIBSON, RENEE BALL, THORA TEMPLE, CARMEN HUNT",right_only
69,760,SAMURAI LION,A Fast-Paced Story of a Pioneer And a Astronaut who must Reach a Boat in A Baloon,New,2.99,110,G,"ANGELINA ASTAIRE, GREG CHAPLIN",left_only
70,866,SUNSET RACER,A Awe-Inspiring Reflection of a Astronaut And a A Shark who must Defeat a Forensic Psychologist in California,Family,0.99,48,NC-17,"ANGELINA ASTAIRE, GROUCHO DUNST, MORGAN MCDORMAND",left_only
71,234,DISTURBING SCARFACE,A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat,Sci-Fi,2.99,94,R,"ANGELINA ASTAIRE, KENNETH PESCI, JULIANNE DENCH, AUDREY BAILEY",left_only
72,464,INTENTIONS EMPIRE,A Astounding Epistle of a Cat And a Cat who must Conquer a Mad Cow in A U-Boat,Animation,2.99,107,PG-13,"ANGELINA ASTAIRE, MARY KEITEL",right_only
73,464,INTENTIONS EMPIRE,A Astounding Epistle of a Cat And a Cat who must Conquer a Mad Cow in A U-Boat,Animation,2.99,107,PG-13,"ANGELINA ASTAIRE, MARY KEITEL",left_only
74,866,SUNSET RACER,A Awe-Inspiring Reflection of a Astronaut And a A Shark who must Defeat a Forensic Psychologist in California,Family,0.99,48,NC-17,"ANGELINA ASTAIRE, MORGAN MCDORMAND, GROUCHO DUNST",right_only
75,95,BREAKFAST GOLDFINGER,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,New,4.99,123,G,"ANGELINA ASTAIRE, RUSSELL TEMPLE, AL GARLAND, MICHAEL BOLGER, JULIA ZELLWEGER",left_only
76,935,VANISHED GARDEN,A Intrepid Character Study of a Squirrel And a A Shark who must Kill a Lumberjack in California,New,0.99,142,R,"ANGELINA ASTAIRE, SANDRA KILMER",right_only
77,642,ORDER BETRAYED,A Amazing Saga of a Dog And a A Shark who must Challenge a Cat in The Sahara Desert,Travel,2.99,120,PG-13,"ANGELINA ASTAIRE, SPENCER DEPP, MORGAN HOPKINS, PENELOPE MONROE, GRETA MALDEN, KENNETH HOFFMAN, HUMPHREY GARLAND",left_only
78,709,RACER EGG,A Emotional Display of a Monkey And a Waitress who must Reach a Secret Agent in California,Drama,2.99,147,NC-17,"ANGELINA ASTAIRE, ZERO CAGE, RALPH CRUZ, ANNE CRONYN, BURT TEMPLE, FAY KILMER",right_only
79,595,MOON BUNCH,A Beautiful Tale of a Astronaut And a Mad Cow who must Challenge a Cat in A Baloon Factory,Foreign,0.99,83,PG,ANNE CRONYN,right_only
80,595,MOON BUNCH,A Beautiful Tale of a Astronaut And a Mad Cow who must Challenge a Cat in A Baloon Factory,Foreign,0.99,83,PG,ANNE CRONYN,left_only
81,282,ENCOUNTERS CURTAIN,A Insightful Epistle of a Pastry Chef And a Womanizer who must Build a Boat in New Orleans,Drama,0.99,92,NC-17,"ANNE CRONYN, ALEC WAYNE, MERYL GIBSON, EWAN GOODING",right_only
82,579,MINDS TRUMAN,A Taut Yarn of a Mad Scientist And a Crocodile who must Outgun a Database Administrator in A Monastery,Action,4.99,149,PG-13,"ANNE CRONYN, BURT POSEY, SCARLETT DAMON, CHRIS DEPP, MATTHEW CARREY, JULIA ZELLWEGER",left_only
83,542,LUST LOCK,A Fanciful Panorama of a Hunter And a Dentist who must Meet a Secret Agent in The Sahara Desert,Action,2.99,52,G,"ANNE CRONYN, CHARLIZE DENCH, SEAN GUINESS, SALMA NOLTE, ED MANSFIELD, JAYNE NOLTE, MATTHEW CARREY",left_only
84,927,UPRISING UPTOWN,A Fanciful Reflection of a Boy And a Butler who must Pursue a Woman in Berlin,Action,2.99,174,NC-17,"ANNE CRONYN, GENE HOPKINS, BEN HARRIS, HARVEY HOPE, WILL WILSON",left_only
85,391,HALF OUTFIELD,A Epic Epistle of a Database Administrator And a Crocodile who must Face a Madman in A Jet Boat,Family,2.99,146,PG-13,"ANNE CRONYN, GREG CHAPLIN, SEAN GUINESS, HARRISON BALE, DARYL CRAWFORD, DEBBIE AKROYD",right_only
86,391,HALF OUTFIELD,A Epic Epistle of a Database Administrator And a Crocodile who must Face a Madman in A Jet Boat,Family,2.99,146,PG-13,"ANNE CRONYN, GREG CHAPLIN, SEAN GUINESS, HARRISON BALE, DARYL CRAWFORD, DEBBIE AKROYD",left_only
87,423,HOLLYWOOD ANONYMOUS,A Fast-Paced Epistle of a Boy And a Explorer who must Escape a Dog in A U-Boat,Children,0.99,69,PG,"ANNE CRONYN, HENRY BERRY, CHRISTIAN NEESON, RENEE TRACY, GROUCHO WILLIAMS, BELA WALKEN",left_only
88,207,DANGEROUS UPTOWN,A Unbelieveable Story of a Mad Scientist And a Woman who must Overcome a Dog in California,Foreign,4.99,121,PG,"ANNE CRONYN, MARY TANDY, RALPH CRUZ, SPENCER PECK, KIRSTEN AKROYD, DARYL WAHLBERG, CATE HARRIS, ALBERT JOHANSSON",left_only
89,195,CROWDS TELEMARK,A Intrepid Documentary of a Astronaut And a Forensic Psychologist who must Find a Frisbee in An Abandoned Fun House,Sci-Fi,4.99,112,R,"ANNE CRONYN, MATTHEW CARREY, JEFF SILVERSTONE, MATTHEW JOHANSSON",right_only
90,725,REQUIEM TYCOON,A Unbelieveable Character Study of a Cat And a Database Administrator who must Pursue a Teacher in A Monastery,Classics,4.99,167,R,"ANNE CRONYN, MENA TEMPLE, MARY TANDY, JESSICA BAILEY, MICHELLE MCCONAUGHEY, CHRIS BRIDGES, JULIANNE DENCH, GRETA KEITEL",right_only
91,725,REQUIEM TYCOON,A Unbelieveable Character Study of a Cat And a Database Administrator who must Pursue a Teacher in A Monastery,Classics,4.99,167,R,"ANNE CRONYN, MENA TEMPLE, MARY TANDY, JESSICA BAILEY, MICHELLE MCCONAUGHEY, CHRIS BRIDGES, JULIANNE DENCH, GRETA KEITEL",left_only
92,558,MANNEQUIN WORST,A Astounding Saga of a Mad Cow And a Pastry Chef who must Discover a Husband in Ancient India,New,2.99,71,PG-13,"ANNE CRONYN, MINNIE ZELLWEGER, SIDNEY CROWE, CUBA ALLEN, GENE HOPKINS",left_only
93,151,CINCINATTI WHISPERER,A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin,Sci-Fi,4.99,143,NC-17,"ANNE CRONYN, RUSSELL BACALL, CUBA ALLEN, JULIANNE DENCH",right_only
94,151,CINCINATTI WHISPERER,A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin,Sci-Fi,4.99,143,NC-17,"ANNE CRONYN, RUSSELL BACALL, CUBA ALLEN, JULIANNE DENCH",left_only
95,250,DRAGON SQUAD,A Taut Reflection of a Boy And a Waitress who must Outgun a Teacher in Ancient China,Action,0.99,170,NC-17,"ANNE CRONYN, SPENCER PECK, JIM MOSTEL, SPENCER DEPP, SUSAN DAVIS, ALBERT NOLTE, GENE HOPKINS, ED GUINESS",right_only
96,250,DRAGON SQUAD,A Taut Reflection of a Boy And a Waitress who must Outgun a Teacher in Ancient China,Action,0.99,170,NC-17,"ANNE CRONYN, SPENCER PECK, JIM MOSTEL, SPENCER DEPP, SUSAN DAVIS, ALBERT NOLTE, GENE HOPKINS, ED GUINESS",left_only
97,708,QUILLS BULL,A Thoughtful Story of a Pioneer And a Woman who must Reach a Moose in Australia,Documentary,4.99,112,R,"AUDREY BAILEY, FAY WINSLET, LISA MONROE, JOHN SUVARI",right_only
98,562,MASKED BUBBLE,A Fanciful Documentary of a Pioneer And a Boat who must Pursue a Pioneer in An Abandoned Mine Shaft,Music,0.99,151,PG-13,"AUDREY BAILEY, GARY PENN, ADAM HOPPER",right_only
99,693,POTTER CONNECTICUT,A Thrilling Epistle of a Frisbee And a Cat who must Fight a Technical Writer in Berlin,Animation,2.99,115,PG,"AUDREY BAILEY, JANE JACKMAN, CATE MCQUEEN, WARREN JACKMAN, WARREN NOLTE, WHOOPI HURT, AL GARLAND",right_only
100,62,BED HIGHBALL,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,Documentary,2.99,106,NC-17,"AUDREY BAILEY, JENNIFER DAVIS, ALBERT NOLTE, SUSAN DAVIS, GINA DEGENERES",right_only
101,802,SKY MIRACLE,A Epic Drama of a Mad Scientist And a Explorer who must Succumb a Waitress in An Abandoned Fun House,Action,2.99,132,PG,"AUDREY BAILEY, JON CHASE, LAURENCE BULLOCK, LAURA BRODY, GRETA MALDEN, MERYL GIBSON, WALTER TORN, KIRSTEN AKROYD, WOODY JOLIE, SISSY SOBIESKI, ELVIS MARX, WARREN JACKMAN",right_only
102,682,PITTSBURGH HUNCHBACK,A Thrilling Epistle of a Boy And a Boat who must Find a Student in Soviet Georgia,Family,4.99,134,PG-13,"AUDREY BAILEY, JULIA MCQUEEN, PENELOPE MONROE, JOHN SUVARI, RIP CRAWFORD",right_only
103,374,GRAFFITI LOVE,A Unbelieveable Epistle of a Sumo Wrestler And a Hunter who must Build a Composer in Berlin,Sci-Fi,0.99,117,PG,"AUDREY BAILEY, SEAN GUINESS, GARY PENN, KENNETH PALTROW, CHRISTIAN NEESON, JOHNNY CAGE",right_only
104,472,ITALIAN AFRICAN,A Astounding Character Study of a Monkey And a Moose who must Outgun a Cat in A U-Boat,Travel,4.99,174,G,"AUDREY BAILEY, VIVIEN BERGEN",right_only
105,125,CASSIDY WYOMING,A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,Travel,2.99,61,NC-17,"AUDREY OLIVIER, ANGELA HUDSON, LUCILLE DEE, ANGELA WITHERSPOON, MARY KEITEL, CUBA OLIVIER, SANDRA KILMER",right_only
106,493,KANE EXORCIST,A Epic Documentary of a Composer And a Robot who must Overcome a Car in Berlin,Foreign,0.99,92,R,"AUDREY OLIVIER, BURT DUKAKIS, HENRY BERRY, CHRISTOPHER BERRY, GROUCHO WILLIAMS",left_only
107,950,VOLUME HOUSE,A Boring Tale of a Dog And a Woman who must Meet a Dentist in California,Classics,4.99,132,PG,"AUDREY OLIVIER, GARY PENN, KENNETH TORN, CHRIS DEPP, REESE WEST",right_only
108,950,VOLUME HOUSE,A Boring Tale of a Dog And a Woman who must Meet a Dentist in California,Classics,4.99,132,PG,"AUDREY OLIVIER, GARY PENN, KENNETH TORN, CHRIS DEPP, REESE WEST",left_only
